,text,label
1007,just called a 65 basketball player out for the fade on twitter cuz dat pussy nigguh live in georgia come get me bitch,__label__offensive
198,awwwwww they no kaep aint rape no bitch,__label__offensive
3589,  cry over lost pussy more emotional than a sissy they get out amp front on hoes simple minds amp point brothas like me out,__label__offensive
4611,craig fire that shit up hoe,__label__offensive
415,video charlie baker remembers tom menino httptcovdaowlzksv,__label__non_offensive
2494,  niggas is hoes man i swear ,__label__offensive
2599,this shit so trash lol,__label__offensive
3339,if you work a graveyard shift she cheating on you off tops somebody else gon be tucking ya bitch in,__label__offensive
3916,penn state tryna slant and screen all the way down the field lol,__label__non_offensive
1646,when you catch yo bitch sending nudes to another nigga,__label__offensive
24,  but no joke i will say no it is not an oleander and wife will say son of a bitch ron yes the hell it is get out your book,__label__offensive
1941,omg i will just go to charlie bear to twerk team i fucks with them,__label__offensive
4163,    kanye was like if any of you bitches even think about attacking me in the elevator httpstco1ti5k1f1sf,__label__offensive
4090,  johans a free agent harveys hurt you retard and its valverde  ,__label__offensive
868,        lmfaoooo bitch do not start  okay bitch,__label__offensive
1945,leave the bitchen to bitches,__label__offensive
386,  i texted u fag,__label__offensive
4229,you was nothing but a dirty whore fuck you bitch,__label__offensive
3778,  oh you cute you fancy bitch,__label__offensive
631,kobe aint no hoe,__label__offensive
4044,  that bitch was going or nawl,__label__offensive
3583,texting this bitch like she main material fuck that shit  she finna get these youza hoe text,__label__offensive
495,    because i thought jay z would hit her  yeah he is known for sockin a bitch or 2,__label__offensive
3481,          bitch you look like a shamu go back to seaword,__label__offensive
1748,  really does talk like a buck nigger,__label__offensive
1924,    i be closing my eyes and shit sometimes so bitches be able to sneak a quick nipple lick in but she aint going ham on me yo,__label__offensive
1357,    what is that bright yellow thing the ref just showed to martins indi i cannot remember seeing one of those before  ,__label__non_offensive
1832,    mom what happened to  insert old friend name you used to be close me fuck that bitch,__label__offensive
1993,  it was the address to her job so the jokes on you bitch ha,__label__offensive
802,    richard grenell wapos greg sargent mocks voter id and proves point of proponents httptcokg3newoyiy,__label__non_offensive
1050,second time these gentrified bitches got on my nerves this morning,__label__offensive
3879,        bitch you not coming httptcogxpfolusxb ,__label__offensive
1506,never gas hoes but i do take they ass home,__label__offensive
1117,  yes so you could leave fag,__label__offensive
841,looked like you but at the same time looked like some biker bitch or punk rock bitch from a 90s movie,__label__offensive
2836,    hahahaha basic bitches so funny,__label__offensive
4454,    you all be tweakin wit that wce shit aint no way in hell u like that bitch every single day ,__label__offensive
449,    girls do not let a guy treat you like a yellow starburstu are a pink starburst,__label__non_offensive
379,    mcdonald employees always rolling their eyes when you pay with coins like bitch you broke af too fuck you giving me attitud ,__label__offensive
2692,    it does not matter who i make out with in spin the bottle because i only invite the hottest bitches to play  ,__label__offensive
1405,    i do not always get drunk and pass out but when i do when did they start making colored duct tape,__label__non_offensive
2188,  golden oreos   regular oreos   yes,__label__non_offensive
4025, black bottle amp a bad bitch ,__label__offensive
2890,  duhlol me tweeting about eating pussy from the back with my tongue in that made that obviouslol,__label__offensive
3788,gonna have them pussies mix up some concrete today teach them to pose like me i am a badass motherfucker and i will let you be too ,__label__offensive
3224,      niggas bitches getting exposed ,__label__offensive
1875,i cannot with these second class bitches,__label__offensive
2499,    people r retarded for thinking you can eat clean food all day and lose weight calories are calories people,__label__offensive
1436,i can tell when certain and specific people are posting on a groupcorporate fbtwitter page by the consistent retarded hashtags  ,__label__offensive
1289,        bitch no i am talking to her ,__label__offensive
1126,gucci feel like jeezy pussy outchea you tried to kill me and was not successful nigga lucky gucci aint tried to down him,__label__offensive
1358,all these bitches love mosa sippin on the coca,__label__offensive
1634,if you did not have tattoos as a diversion for your bird chest and malnourished body sir your instagram would be trash,__label__non_offensive
3941,ur no from here u act sound infront ae me or i will be an awfy cunt nd break ur fukin phone tae,__label__offensive
3099,      babe it is the thought that countsbitch you a thot,__label__offensive
850,wiz thought he could turn his hoe into a house wife    ,__label__offensive
1454,international police operation disrupts shylock banking trojan  computerworld the guardianinternational poli httptcozibnjmiilj,__label__non_offensive
1955,i hate pulling into stores niggas be staring like they never seen a bitch drive a car with rims and a system ,__label__offensive
322,  fi shoots bean bag rounds at the guy  hurts like a bitch do not they,__label__offensive
3981,  teanna trump probably cleaner than most of these twitter hoes but,__label__offensive
1361,  true dat nig,__label__offensive
1905,  frogger best game ever  only cuz you suck at flappy bird,__label__non_offensive
693,    i know bitch,__label__offensive
3625,imma get home around 0300 problem is it is a coon leaving the bar that drank 7 shots of crown royal think he still can drive,__label__offensive
2454,  cuts away when a democrat talks and claim to be fair and balanced lmao network full of   and liars,__label__non_offensive
2691,cannot turn a hoe into a house wife  ,__label__offensive
3970,coke and white bitches,__label__offensive
3653,playing with my money is like playing with my emotions niggas do not believe i guess we going to find out then hoe ass niggas,__label__offensive
1137,     that bitch wanna ignore my text wait till she get off work      caption this httptcozwrimdzqnv,__label__offensive
2802,    we slap bitches  ,__label__offensive
2286,annie you crazy hoe  ,__label__offensive
1579,watch excited isis jihadis getting their yezidi sex slaves on  wouldistribution day httptcon9exnuvhks          ,__label__offensive
2340,      shi  i do not wanna rant bc my first impression would be that i am a such a bitch   lmao,__label__offensive
4286,    i beat the pussy up up up up up,__label__offensive
1570,    chatt niccas love doin dat brah,__label__offensive
3735,god dam man that freestyle is so retarded that its fumny af omg,__label__offensive
3361,    need some ice cream and oreos  ,__label__non_offensive
2908,  idc i can still get it that is my pussy,__label__offensive
1580,  bitch trying to turn this shit like facebook,__label__offensive
653,  httptco3gzupfumev woof woof and hot soles,__label__non_offensive
3478,i beat the pussy up yg,__label__offensive
3422,        then how yall got here b  stfu negro,__label__offensive
157,    mass gop govelect charlie baker no drivers licenses for illegal aliens gt httptco3vklymjwjs  ,__label__non_offensive
335,    it is   bitch   artist of the year   httptco1meniz4urw,__label__offensive
4076,    and every   need to see that pic i just posted because that bitch just said the most racist shit,__label__offensive
4005,too worried bout bitches amp fashion they go missing in action,__label__offensive
2427,    if u got cotton mouth u can eat my pussy,__label__offensive
3677,birthday today bitches and i gotta work ,__label__offensive
4460,fuck fleeto like id cut you cunts up ,__label__offensive
1616,i have such a horrible perspective of time i think i might be retarded smh,__label__offensive
2370,     these porn hoes moan at everything    a nigga unbutton her shirt she moaning like stfu,__label__offensive
1356,    grow up bitch     they was cute  ,__label__offensive
989,tempted to finish every sentence i say today with yo or bitch  ,__label__offensive
1317,    just saw someone riding a bike while wearing camo the bitch is asking to get hit,__label__offensive
2170,    when you ate the pussy but yeen think she was gone tell anybody  httptcowgihekh5qb,__label__offensive
4316,fuzzy socks are the actual life,__label__non_offensive
3810,i put her pussy on the map,__label__offensive
3507,      the power thrust httptcohxmlh6qxqb  really in that hoe omg  ,__label__offensive
4415,    i cannot fuck with a broke bitch  ,__label__offensive
3051,everybody fuckin everybody bitch everybody wit the shits thats lifee,__label__offensive
1967,    lmao i fucks with   amp   real talk them bitches know how to have fun,__label__offensive
441,        ooh yea    getting all hoes,__label__offensive
2103,    rick scott vs charlie crist is the worst gubernatorial election in america and it is the face of our ugly future httptco ,__label__non_offensive
2347,spendin money that we saved stackin ones like bricks hittin bitches like craig watchin ass clap    ,__label__offensive
752,everyday i wake up i got a different bitch,__label__offensive
1910,bad bitches is the only thing i like,__label__offensive
4136,niggas already acting like bitches so why not get a real bitch right hell if you gone act like a pussy i rather just have one shit,__label__offensive
2109,    when i was little i remember laying horrified in bed as hand puppets held a mock trial convicting me of putting my hand up th ,__label__non_offensive
3041,    you tell me i am beautiful like you tell every other bitch come on sir  ,__label__offensive
4173,nah i definitely gotta find me a bitch to drive me around in my whip while i am drunk to this ty dolla ign tape b it is only right,__label__offensive
3838,some call me the song bird of my generation,__label__non_offensive
4444,i cannot take yo bitch if i cannot see yo bitch,__label__offensive
2825,    my body thought we had get an extra hr sleep but my brain decided to wake up 2 hrs earlier my brains a bitch,__label__offensive
243,  lol i would have beat that hoe up,__label__offensive
73,dress shirt saggy jeans backwards yankee hat now that is lifting swag,__label__non_offensive
1315,    reds fan snags foul ball gets shoved by player flips bird becomes true american hero httptcoydu4pr531r httptco ,__label__non_offensive
2013,can really hold phone convos in my house with this trash ass service,__label__offensive
700,work out hoe httptcozolmguj5hk,__label__offensive
1097,    oops i did not mean to tweet this yes i did   dvring is a bitch httptcowj0nycel8h,__label__offensive
830,enjoy 50 off     tickets with our code and check us out at booth   vegan brownies samples amp more httptcoscdzndk2aq,__label__non_offensive
1021,when all else fails blast bare nips,__label__non_offensive
3725,    we all know you are fucking a bitch right now lol,__label__offensive
477,  when people complain to me about prices i am just like bitch do i look like i make the rules ,__label__offensive
2189,trust me when i say you should not trust her if she tweets from bae to bruh real quick only hoes can drop niggas real quick,__label__offensive
564,    rule   do pussy ass shit sometimes like write her love notes write long paragraphs about how you have never felt this way b ,__label__offensive
1537,i swear ion see how broke niccas still out here gettin pussy smh,__label__offensive
2739,    you all virgo bitches gotta chill thinking you all beyonc   ,__label__offensive
1723,  kobe stay talking trash but let us not forget httptcovh4tnekvtp   i meant to do this one smh,__label__offensive
1395,      bet nigger i am waiting for the car keys,__label__offensive
2673,  aye hoe,__label__offensive
3410,      or if we pick you up in sc and take you with us nip to cr,__label__non_offensive
671,bitch i want my number back yo pussy mustard oh yeah fuck dat bitch trust me  ,__label__offensive
1090,      god forbid she actually voted to give people affordable insurance rates that bitch  ,__label__offensive
786,yes lawd   god took extra time on you   you have lips like kylie jennerbitch i am black httptcozj2guu0pcm,__label__offensive
2232,it is going down it is going down it is going down lil bitch,__label__offensive
2783,yo  this bitch in macys tried to run out the store with a gaggle of clothes and got caught,__label__offensive
1424,  bitch stop fucking playin with me you know wtf i am talkin about,__label__offensive
3480,    what in the mother fuck is flappy bird,__label__offensive
1252,and them niggas pussiescameltoes  ,__label__offensive
849,thirsty fo da bitches saggin my pants n shit  shit i paid this much for the belt i betta crack a bitch,__label__offensive
4149,    charlie sheen is the realest nigga alive httptcopk0nejiovh,__label__offensive
735,i think i need to watch dawn of the planet of the apes now,__label__non_offensive
4280,i got a spanish bitch her name nina  ,__label__offensive
494,          i  assuming she got a cup on     her pussy got a bicep b wtf httptcocl4jhgmxpi,__label__offensive
2995,    these hoes really aint loyal   httptco6u2kbykq2n,__label__offensive
60,i am a celestial body hello httptcoykdrm9ax69,__label__non_offensive
2754,  i have had to do it in multiple classes aint really that rare also do not call your teacher a bitch on twitter,__label__offensive
64,it stink in this bitch it must be them pussy ass niggas talkin shit,__label__offensive
4650,  wish tonight was purge so i can get to hunting  shut yo hoe ass up,__label__offensive
630,    one of your side chicks came up 5k  them bitches know where i live i be hiding from my cuz  ,__label__offensive
2434,fucking walk off in the bronx  ,__label__offensive
488,      last night was cool until niggas was more worried bout us than bitches  like that all the time,__label__offensive
1444,  your bitch called she was missing this dick,__label__offensive
4603,  bitches better watch out because we are running the tables tonight  ,__label__offensive
44,phaedra is gonna drop apollo like mariah did when da brat went to prison these hoes aint loyal,__label__offensive
225,    rip   to the hoes  dying for attention,__label__offensive
1087,      lmao it will have a slope of 2x1,__label__non_offensive
4153,  i will come rape your wife bitch boy,__label__offensive
3437,only keep real bitches in attendance  ,__label__offensive
1220,  you went iiiiiiinnnnnn on this hoe bro httptcomh46xxnu0n,__label__offensive
4526,  charlie strong will have texas back as a power  better power of big 12 is anybodys now,__label__non_offensive
3143,is there a looser   town than    if yes id like to visit    ,__label__non_offensive
623,  all i did was bitch about jessie still love you anyway,__label__offensive
2549,    boys get thirsty and grimey for a girl no pussy getting ass niggas,__label__offensive
1294,bitches be like i want something real  and i be like i want a bitch with real hair but we cannot always get what we want now can we lol,__label__offensive
3199,  no longer a side bitch   httptcoqwcuna7vcv     ,__label__offensive
3141,  im askin you negro lol,__label__offensive
1426,      lay in it brother i am a honky,__label__offensive
1231,serious question here how many country songs mention honkey tonks,__label__non_offensive
625,its a problem bitch ya better follow me i give ya this dick you then won the lottery,__label__offensive
3155,    you all bitches be like 16 looking 25  ,__label__offensive
3603,money pussy amp freedom ,__label__offensive
3943,   bitch dont talk at me like that bro,__label__offensive
4258,well thank goodness i got other musicians that are not bitches like   for example,__label__offensive
2755,    these 5th grade hoes aint loyal httptcohhpruzxr0j,__label__offensive
903,sendin the link to wishy washy to my old hoes,__label__offensive
2961,    bitches who smoke cigs are disgusting cuh,__label__offensive
4063,    noll nigga i am talm bout tt and juice      me too ion hoe em,__label__offensive
3156,  iz no point in being jealous cuz dee hoes for everybody     httptcohuh4hbkywy,__label__offensive
2356,  ima keep on giving these pussy ass niggas ah reason to hate ,__label__offensive
4550,juss got this hoe free so why not lop p httptcotr8b5d7u,__label__offensive
4309,    charlie sheen is engaged to a porn star i cannot be the only one thinking she can do a lot better,__label__non_offensive
216,  hoes be like omg i love my new comb   httptconuyjux1sk3  thought this was perro,__label__offensive
3621,        nigga messed with the wrong bitch    ,__label__offensive
1690,i can neva count my stash cause i always lose count i can neva keep no bitch cuz i put them hoes out,__label__offensive
2140,i am an 18 year old gay driving through the back roads of redneck virginia blasting cheetah girls if that does not scream sitcom what does,__label__non_offensive
3758,    when i hear a baby cry at a restaurant i can literally feel my pussy slam a door closed and throw out the gone fishing ,__label__offensive
297,      lol and your response was bitch do i like pregnant,__label__offensive
1636,ff has been consistently one of marvels worst properties ultimate ff was good but the entire ultimate universe is now in the trash,__label__non_offensive
4157,      you a bitch too,__label__offensive
3324,these hoes getting outta hand  ,__label__offensive
3463,feel like im at home when im in dis bitch,__label__offensive
3356,    the only d yah bitches should be thirsty for httptcojl7j8xpiih,__label__offensive
2603,    all i see down my tl is naked white bitches  ,__label__offensive
937,    fuckin ignorant ass niggas do not dm me a video of you counting money n say why u so stuck up bitch ,__label__offensive
3888,    i wish i was a bird so i could constantly shit on the people i hate ,__label__offensive
1920,fuck them kids bitch,__label__offensive
4242,trash see how i capitalized the t in trash     wtf is this oreo song by r kelly    tf,__label__offensive
1342,  bye ugly hoe please do something about that nasty horse hair weave,__label__offensive
4387,bobby bitch dropping in five minutes though  let that sink in  ,__label__offensive
2811,chillin wit my bitch who never hesitates tonight,__label__offensive
2516,why is that most of the niggasbitches i use to fw like to sub me   ,__label__offensive
1574,    like bitch you already know the answer it is all for bri  ,__label__offensive
1393,oh damn dis bitch found out her baby dead and now she is gonna torture the murderer lmao how fun,__label__offensive
2114,    what it ih hoe wassuh can a nigga get in dem guts,__label__offensive
339,oh i am back now 2nd vap do not fuck with this one bitches httptcof0tpxsupkx,__label__offensive
729,  why you talking to me at 5 almost 6am we ain  friends pussy,__label__offensive
2116,same hoe that said i couldnt get it tryna kick it,__label__offensive
1355,french word for potato translates as earth apple banana is long yellow tree apple submarines are big wet hollow kaboom apple,__label__non_offensive
4196,harry must thincc i am the bitch he can fall bacc on ah sum   boi byeeeee  ,__label__offensive
2742,he got a cousin named jason that rock da gary paytonnow da same triflin bitches an hiv patient,__label__offensive
3110,every good story starts off with so this bitch lol,__label__offensive
1184,  sauerkraut saul is a punk ass bitch,__label__offensive
3218,dat bitch had noo cheeks,__label__offensive
3337,  hot meat httptcobrz8imk5vk sexy as fuck scally lad i would love to meet him and his trainers,__label__offensive
1664,    california chrome bitches,__label__offensive
249,my bitch bad she from the islands,__label__offensive
1109,    trying so hard to resist the urge to smack a bitch httptcoukof7k2rrh,__label__offensive
3321,    doing someone wrong for the sole reason that they did you wrong will only bring more negative karma amp energy into your li ,__label__non_offensive
1619,pay back a bitch aint it,__label__offensive
1699,sometime i wish i was not colored,__label__offensive
895,just because you have a issue and your attorney is out of town does not mean you can be a bitch to me next time do not get in trouble,__label__offensive
1803,my instagram song aint bout me postin pictures it is about how hoes not allowed to post pictures of me and i aint posting none of them  ,__label__offensive
